Uniform Resource Identifier;;Naam;Toelichting voor programmeur;Data voorbeeld;Toelichting van Business;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftInformatiewaarde; relatie; Heeft informatiewaarde; De property heeftInformatiewaarde legt de relatie tussen de archeologische kwaliteit en de informatiewaarde met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftInvoerder; relatie; Heeft invoerder; De property heeftInvoerder legt de relatie tussen de kennisregistratie en de invoerder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftJuridischeStatus; relatie; Heeft juridische status; De property heeftJuridischeStatus legt de relatie het rijksmonument en de juridische status, geeft aan of het rijksmonument \voorbeschermd\ of \rijksmonument\ is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftKennisdomein; relatie; Heeft kennisdomein; De property heeftKennisdomein legt de relatie tussen de kennisregistratie en het kennisdomein vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftKennisregistratie; relatie; Heeft kennisregistratie; De property heeftKennisregistratie legt de relatie tussen het cultuurhistorisch object en de Kennisregistratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAanduiding; relatie; Heeft locatie aanduiding; De property heeftLocatieAanduiding legt de relatie tussen het cultuurhistorisch object en de locatie aanduiding vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAanduidingStatus; relatie; Heeft locatie aanduiding status; De property heeftLocatieAanduidingStatus legt de relatie tussen de locatie aanduiding en de status van de  locatie Aanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftLocatieAdres; relatie; Heeft locatie adres; De property heeftLocatieAdres legt de relatie tussen de locatie aanduiding en het adres met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateOvername; relatie; Heeft mate Overname; De property heeftMateOvername legt de relatie tussen de basisregistratie en de mate van overname vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateriaal; relatie; Heeft Materiaal; De property heeftMateriaal legt de relatie tussen een cultuurhistorisch object en het materiaal vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMateriaalNaam; relatie; Heeft materiaalnaam; De property heeftMateriaalNaam legt de relatie tussen het materiaal en de naam van het materiaal vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMaterieleFormeleHistorie; relatie; Heeft materiele formele historie; De property heeftMaterieleFormeleHistorie legt de relatie tussen samenhang, geometrie, locatie aanduiding, basisregistratie, cultuurhistorisch object en de materiele en formele historie vast.;;;;Range: Uri: https://data.cultureelerfgoed.nl/vocab/def/ceo#MaterieleFormeleHistorie
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMelder; relatie; Heeft melder; De property heeftMelder legt de relatie tussen de kennisregistratie en de melder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftMonumentAard; relatie; Heeft monument aard; De property heeftMonumentAard legt de relatie tussen een rijksmonument en de aard van het monument vast, geeft aan of het rijksmonument \archeologisch\ of \onroerend gebouwd\ is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftNaam; relatie; Heeft naam; De property heeftNaam legt de relatie tussen eedn cultuurhistorisch object en de naam vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftNauwkeurigheid; relatie; Heeft nauwkeurigheid; De property heeftNauwkeurigheid legt de relatie tussen de basisregistratie en de nauwkeurigheid van de registratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftObservatiedatum; relatie; Heeft observatiedatum; De property heeftObservatiedatum legt de relatie tussen de Kennisregistratie en de observatiedatum van de registratie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOmschrijving; relatie; Heeft omschrijving; De property heeftOmschrijving legt de relatie tussen een cultuurhistorisch object en de omschrijving vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOmschrijvingstype; relatie; Heeft omschrijvingstype; De property heeftOmschrijvingstype legt de relatie tussen de omschrijving en de type omschrijving met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOorspronkelijkeFunctie; relatie; Heeft oorspronkelijke functie; De property heeftOorspronkelijkeFunctie legt de relatie tussen een cultuurhistorisch object en de oorspronkelijke functie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftPerceel; relatie; Heeft perceel; De property heeftPerceel legt de relatie tussen de basisregistratie en het perceel met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftPeriode; relatie; Heeft periode; De property heeftPeriode legt de relatie tussen de datering en de periode aanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftProvincie; relatie; Heeft provincie; De property heeftProvincie legt de relatie tussen het adres van een cultuurhistorisch object en de provincie waarin het cultuurhistorisch object zich bevindt.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRecordhouder; relatie; Heeft recordhouder; De property heeftRecordhouder legt de relatie tussen de Kennisregistratie en de recordhouder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisteradres; relatie; Heeft registeradres; De property heeftRegisteradres legt de relatie tussen een rijksmonument en het registeradres vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisternaam; relatie; Heeft registernaam; De property heeftRegisternaam legt de relatie tussen een complex of een rijksmonument en de naam in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisteromschrijving; relatie; Heeft registeromschrijving; De property heeftRegisteromschrijving legt de relatie tussen een complex of een rijksmonument en de omschrijving in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisterperceel; relatie; Heeft registerperceel; De property heeftRegisterPerceel legt de relatie tussen een rijksmonument en het perceel in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRepresentativiteit; relatie; Heeft representativiteit; De property heeftRepresentativiteit legt de relatie tussen de archeologische kwaliteit en de representativiteit met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRol; relatie; Heeft rol; De property heeftRol legt de relatie tussen de ActorEnRol en de actor rol met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSamenhang; relatie; Heeft samenhang; De property heeftSamenhang legt de samenhangende relatie tussen twee cultuurhistorische objecten vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSchoonheid; relatie; Heeft schoonheid; De property heeftSchoonheid legt de relatie tussen de archeologische kwaliteit en de schoonheid met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSitueringBijAdres; relatie; Heeft situering bij adres; De property heeftSitueringBijAdres legt de relatie tussen een rijksmonument dat geen verblijfsobject in de BAG is met een verblijfsobject in de BAG.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSitueringTegenoverAdres; relatie; Heeft situering tegenover adres; De property heeftSitueringTegenoverAdres legt de relatie tussen een rijksmonument dat geen verblijfsobject in de BAG is met een verblijfsobject inde BAG.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftStijlEnCultuur; relatie; Heeft stijl en cultuur; De property heeftStijlEnCultuur legt de relatie tussen een cultuurhistorisch object en de stijl en cultuur vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftStijlEnCultuurNaam; relatie; Heeft stijl en cultuur naam; De property heeftStijlEnCultuur legt de relatie tussen de stijl en cultuur en de naam van de stijl en cultuur vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftTemporeleRelatie; relatie; Heeft temporele relatie; De property heeftTemporeleRelatie legt de relatie tussen het tijdvak en de temporele relatie met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftTijdvak; relatie; Heeft tijdvak; De property heeftTijdvak legt de relatie tussen de datering en het tijdvak met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftToestand; relatie; Heeft toestand; De property heeftToestand legt de relatie tussen de vondst en de toestand vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftTopologischeRelatie; relatie; Heeft topologische relatie; De property heeftTopologischeRelatie legt de relatie tussen de basisregistratie relatie en de topologische relatie met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftType; relatie; Heeft type; De property heeftType legt de relatie tussen een cultuurhistorisch object en het type vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftTypeNaam; relatie; Heeft type naam; De property heeftTypenaam legt de relatie tussen het type en de naam van het type met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftTypekenmerk; relatie; Heeft typekenmerk; De property:heeftTypekenmerk legt de relatie tussen het type en het typekenmerk met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftVertrouwelijkAanduiding; relatie; Heeft vertrouwelijk aanduiding; De property heeftVertrouwelijkAanduiding legt de relatie tussen het cultuurhistorisch object en de vertrouwelijkheid aanduiding vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftVervanger; relatie; Heeft vervanger; De property heeftVervanger legt de relatie tussen de kennisregistratie en de vervangende kennisregistratie met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftVerwerving; relatie; Heeft verwerving; De property heeftVerwerving legt de relatie tussen de vondst of grondspoor en de verwerving vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftVoorganger; relatie; Heeft voorganger; De property heeftVoorganger legt de relatie tussen de Gebeurtenis en zijn voorgaande Gebeurtenis met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZaak; relatie; Heeft zaak; De property heeftZaak legt de relatie tussen de kennisregistratie en de zaak vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZaakobject; relatie; Heeft zaakobject; De property heeftZaakobject legt de relatie tussen Cultuurhistorisch Object en het Zaakobject.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZekerheidsaanduiding; relatie; Heeft zekerheidsaanduiding; De property heeftZekerheidsaanduiding legt de relatie tussen het type en de zekerheidsaanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZeldzaamheid; relatie; Heeft zeldzaamheid; De property heeftZeldzaamheid legt de relatie tussen de archeologische kwaliteit en zeldzaamheid met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZichtbaarheid; relatie; Heeft zichtbaarheid; De property heeftZichtbaarheid legt de relatie tussen een cultuurhistorische object en de zichtbaarheid vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZichtbaarheidsaanduiding; relatie; Heeft Zichtbaarheidsaanduiding; De property heeftZichtbaarheidsaanduiding legt de relatie tussen de zichtbaarheid en de zichtbaarheidsaanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftZuiverheid; relatie; Heeft zuiverheid; De property heeftZuiverheid legt de relatie tussen de stijl en cultuur en de zuiverheid met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#hoofdfunctie; relatie; Hoofdfunctie; De property hoofdfunctie wordt gebruikt om aan te geven of een functie de hoofdfunctie van een Cultuurhistorisch Object is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#hoofdobjectBevat; relatie; Hoofdobject bevat; De property hoofdobjectBevat legt de relatie tussen het hoofdobject en de samenhang met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#huidigeNaam; relatie; Huidige naam; De property huidigeNaam wordt gebruikt om aan te geven of de naam, de huidige naam is van een cultuurhistorische object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#huisnummer; relatie; Huisnummer; De property huisnummer wordt gebruikt om aan tre geven het huisnummer, huisletter en huisnummer toevoeging van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#indicatieArcheologischeMonumentenKaartWaardig; relatie; Indicatie archeologische monumenten kaart waardig; De property indicatieArcheologischeMonumentenKaartWaardig wordt gebruikt om aan te geven of een archeologisch onderzoeksgebied AMK waardig is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#internationaalKenteken; relatie; Internationaal kenteken; De property internationaalKenteken wordt gebruikt om aan te geven of een internationaal kenteken aan een Cultuuurhistorisch object is gegeven.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#isOnderdeelVanComplex; relatie; Is onderdeel van complex; De property isOnderdeelVanComplex legt de relatie tussen de samenhang en het complex met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#isOnderdeelVanHoofdobject; relatie; Is onderdeel van hoofdobject; De property isOnderdeelVanHoofdobject legt de relatie tussen de samenhang en het hoofdobject met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#isVolgensNorm; relatie; Is volgens norm; De property isVolgensNorm wordt gebruikt om aan te geven of de kennisregistratie volgens een bepaalde norm is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#kaartbladcode; relatie; Kaartbladcode; De property kaartbladcode wordt gebruikt om aan te geven welke kaartbladcode is gekoppeld aan de locatie aanduiding.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#kadasterDeelEnNummer; relatie; Kadaster deel en nummer; De property kadasterDeelEnNummer wordt gebruikt om aan te geven of een kadasterDeelEnNummer aan een rijksmonument is gegeven.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#ligtInObject; relatie; Ligt in object; De property ligtInObject legt de relatie tussen de samenhang en de ligging met betrekking tot een rijksmonument vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#locatienaam; relatie; Locatienaam; De property locatienaam wordt gebruikt om aan te geven welke locatie naam is gekoppeld aan de locatie aanduiding;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#locatieomschrijving; relatie; Locatieomschrijving; De property locatieomschrijving wordt gebruikt om aan te geven de locatie registratie van een rijksmonument, wanneer het rijksmonument geen verblijfsobject in de BAG is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#naam; relatie; Naam; De property naam wordt gebruikt om aan te geven de naam van het cultuurhistorisch object of het tijdvak.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#omschrijving; relatie; Omschrijving; De property omschrijving wordt gebruikt om aan te geven de omschrijving van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#onroerendeZaakomschrijving; relatie; Onroerende zaak omschrijving; Deze property onroerendeZaakomschrijving wordt gebruikt om aan te geven de korte aanduiding, of omschrijving, die volstaat om vast te stellen over welke beschermde onroerende zaak of zaken het gaat.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#oorspronkelijkeNaam; relatie; Oorspronkelijke naam; De property huidigeNaam wordt gebruikt om aan te geven of de naam, de oorspronkelijke naam is van een cultuurhistorische object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#openbareRuimte; relatie; Openbare ruimte; De property openbareRuimte wordt gebruikt om aan tre geven de openbare ruimte van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#paginaverwijzing; relatie; paginaverwijzing; De property paginaverwijzing wordt gebruikt om aan te geven de paginaverwijzing van een bron.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#perceelnummer; relatie; Perceelnummer; De property perceelnummer wordt gebruikt om aan te geven of het nummer dat aan een geheel perceel of een complex, uniek identificeert wordt binnen de sectie.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#persitenteIdentificatie; relatie; Persitente identificatie; De property persitenteIdentificatie wordt gebruikt om aan te geven welke persitente identificatie aan een cultuurhistorisch object is gekoppeld.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#plaatsCode; relatie; Plaats code; De property plaatsCode wordt gebruikt om aan te geven welke plaats code is gekoppeld aan het rijksmonument.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#postcode; relatie; Postcode; De property postcode wordt gebruikt om aan te geven de postcode van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#provincieCode; relatie; Provincie code; De property provincieode wordt gebruikt om aan te geven welke provincie code is gekoppeld aan het rijksmonument.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#registerComplexNaam; relatie; Register complex naam; De property registerComplexNaam wordt gebruikt om aan te geven welke complex naam in het register is gekoppeld aan het complex.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#registerComplexOmschrijving; relatie; Register complex omschrijving; De property registerComplexOmschrijving wordt gebruikt om aan te geven welke complex omschrijving in het register is gekoppeld aan het complex.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#registernaam; relatie; Registernaam; De property registerNaam wordt gebruikt om aan te geven welke monumentnaam in het register is gekoppeld aan het rijksmonument. De naam van het monument staat in het register indien nodig voor identificatie.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#registratiedatum; relatie; Registratiedatum; De property registratieDatum wordt gebruikt om aan te geven de registratiedatum van de kennisregistratie.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#rijksmonument; relatie; Rijksmonument; Deze instantie van De class JuridischeStatus geeft aan dat de juridische status rijksmonument is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#rijksmonumentnummer; relatie; Rijksmonumentnummer; De property rijksmonumentnummer wordt gebruikt om aan te geven het unieke nummer waaronder het rijksmonument bekend is in het monumentenregister.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#rol; relatie; Rol; De property rol wordt gebruikt om aan te geven de rol die een actor speelt bij een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#samenhangToelichting; relatie; Samenhang toelichting; De property samenhangToelichting wordt gebruikt om aan te geven de toelichting op de samenhang tussen twee cultuurhistorische objecten.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#startdatum; relatie; Startdatum; De property startdatum wordt gebruikt om aan te geven welke startdatum is gekoppeld aan een instance.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#taal; relatie; Taal; ;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#toelichting; relatie; Toelichting; De property toelichting wordt gebruikt om een toelichting te geven op de Kennisregistratie.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#verwijzing; relatie; Verwijzing; ;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#volledigAdres; relatie; Volledig adres; De property volledigAdres wordt gebruikt om aan tre geven het volledige adres van een cultuurhistorisch object.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#voorbeschermd; relatie; Voorbeschermd; Deze instantie van De class JuridischeStatus geeft aan dat de juridische status voorbeschermd is.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#woonplaatsnaam; relatie; Woonplaatsnaam; De property woonplaatsnaam wordt gebruikt om aan tre geven de woonplaats van een cultuurhistorisch object.;;;;
